"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         248,      -5.243655787,      -3.178017113,      -2.669952121,      0.2363896903,      -7.057779964
          0,           0,         249,      -5.237908233,      -3.199018848,      -2.696561222,      0.2420363671,      -7.057873887
          0,           0,         250,      -5.226876358,       -3.21508292,      -2.675162864,        0.25313512,       -7.05793262
          0,           0,         251,      -5.217202825,      -3.228645202,      -2.701141171,      0.2628326599,      -7.057971467
          0,           0,         252,      -5.224524148,      -3.238703308,      -2.693023081,      0.2555671125,       -7.05797921
          0,           0,         253,      -5.222762997,       -3.25324127,      -2.688664019,      0.2573009699,      -7.057971282
          0,           0,         254,       -5.22797652,      -3.251503044,      -2.699279461,      0.2521138442,      -7.057955712
          0,           0,         255,      -5.235731886,       -3.25438447,      -2.716572649,      0.2442884242,      -7.057929645
          0,           0,         256,      -5.228396599,      -3.254161694,      -2.673038693,      0.2515934566,      -7.057887134
          0,           0,         257,      -5.238963508,      -3.248563279,       -2.71371333,      0.2410735442,      -7.057828731
          0,           0,         258,      -5.247393878,      -3.237701651,      -2.702241124,       0.232725266,      -7.057757057
          0,           0,         259,      -5.239530091,       -3.22606527,      -2.684654663,      0.2405142359,      -7.057690485
          0,           0,         260,      -5.246970377,      -3.211357253,      -2.687259647,      0.2331712019,      -7.057632945
          0,           0,         261,      -5.259958183,      -3.206553733,      -2.706468515,      0.2201770809,      -7.057572144
          0,           0,         262,      -5.269121911,      -3.208320219,      -2.673176133,      0.2108177349,      -7.057490767
          0,           0,         263,      -5.277608559,      -3.204238409,      -2.698873838,      0.2023378106,      -7.057418944
          0,           0,         264,      -5.261069978,      -3.194186627,      -2.686587151,      0.2189317508,      -7.057375178
          0,           0,         265,      -5.275209783,      -3.192632578,      -2.687942967,      0.2048149982,      -7.057340992
          0,           0,         266,      -5.273791237,      -3.200113233,      -2.689330392,       0.206215097,      -7.057305683
          0,           0,         267,       -5.28272713,      -3.206835002,      -2.710804487,      0.1972418346,      -7.057269536
          0,           0,         268,      -5.282146546,      -3.213398557,      -2.681415091,      0.1977707368,       -7.05724969
          0,           0,         269,      -5.265666506,       -3.22124373,      -2.712226261,      0.2142520847,      -7.057265726
          0,           0,         270,      -5.253810031,      -3.225504907,      -2.708402831,      0.2260667653,      -7.057304588
          0,           0,         271,      -5.257558522,      -3.236730827,      -2.703028459,      0.2222802351,       -7.05734681
          0,           0,         272,      -5.246797506,      -3.255398741,      -2.715775475,      0.2330300713,      -7.057400293
          0,           0,         273,      -5.246835877,      -3.258783761,      -2.724321845,      0.2330804661,      -7.057475696
